,new_length,original_length:,language,script,XLM-R
207,76991,91544,rmy,['Latn'],
208,45862,55554,phm,['Latn'],
209,55641,81075,glv,['Latn'],
210,128908,218324,diq,['Latn'],
211,46454,48064,poh,['Latn'],
212,683517,797424,oss,['Cyrl'],
213,165616,203340,san,['Deva'],True
214,64224,73820,ote,['Latn'],
215,154827,182418,her,['Latn'],
216,39957,98449,pus,['Latn'],
217,1082621,1198176,efi,['Latn'],
218,75106,82163,idu,['Latn'],
219,29062,35433,pov,['Latn'],
220,1463123,2277418,hye,['Armn'],True
221,80737,93633,gcf,['Latn'],
222,731992,998462,pus,['Arab'],True
223,42467,76710,sgs,['Latn'],
224,33240,33378,mbb,['Latn'],
225,14199,25512,som,['Arab'],True
226,104802,160647,hsb,['Latn'],
227,56933,85736,ary,['Arab'],
228,1033636,1116792,hmo,['Latn'],
229,33449,44927,quw,['Latn'],
230,983637,1103275,pag,['Latn'],
231,264426,605282,ber,['Latn'],
232,380596,420503,chk,['Latn'],
233,4616,21565,udm,['Latn'],
234,41836495,53453688,kan,['Knda'],True
235,964418,1063066,loz,['Latn'],
236,41873,42186,tih,['Latn'],
237,447435,496883,mfe,['Latn'],
238,41580525,51544690,tel,['Telu'],True
239,26775,31804,lir,['Latn'],
240,197315,240071,ina,['Latn'],
241,19547941,24289191,isl,['Latn'],True
242,133251,157441,tsz,['Latn'],
243,410827,485894,ori,['Orya'],True
244,41640,104866,tat,['Latn'],
245,410683,557702,arg,['Latn'],
246,40035,40274,kia,['Latn'],
247,5157787,6495254,afr,['Latn'],True
248,42147,69341,myv,['Cyrl'],
249,46561,48620,bik,['Latn'],
250,12997242,22948730,ltz,['Latn'],
251,658789,728640,iso,['Latn'],
252,1161605,1283808,ewe,['Latn'],
253,2954874,3166367,als,['Latn'],
254,446378,528291,swc,['Latn'],
255,20757,23530,dga,['Latn'],
256,31015993,45413661,deu,['Latn'],True
257,31903,33161,caq,['Latn'],
258,228180,293966,bew,['Cyrl'],
259,247406,294357,nia,['Latn'],
260,6009594,7528948,urd,['Arab'],True
261,18994,22218,hwc,['Latn'],
262,20564,20594,ata,['Latn'],
263,566715,607100,niu,['Latn'],
264,50525,174154,bel,['Latn'],
265,30304,30450,mrw,['Latn'],
266,21823004,32305846,bul,['Cyrl'],True
267,190529,208953,pau,['Latn'],
268,48870,77457,guj,['Deva'],
269,2106531,2415693,ilo,['Latn'],
270,185868,205167,kss,['Latn'],
271,52715,127177,mar,['Latn'],
272,277632,311459,zai,['Latn'],
273,767918,841865,guw,['Latn'],
274,67914,93913,kbd,['Cyrl'],
275,30620,30818,dln,['Latn'],
276,2584810,3707870,war,['Latn'],
277,13064,21548,nrm,['Latn'],
278,5538,26098,kom,['Latn'],
279,31852,38431,tca,['Latn'],
280,465011,740536,iku,['Cans'],
281,49068,80783,bjn,['Latn'],
282,116851,140217,ngu,['Latn'],
283,256677,299381,kmr,['Latn'],
284,7411064,10389209,tgl,['Latn'],True
285,22626,25338,wap,['Latn'],
286,12775959,18586815,eus,['Latn'],True
287,30472,30881,hra,['Latn'],
288,20702,23337,ktu,['Latn'],
289,599429,704700,lue,['Latn'],
290,19339945,30880605,pol,['Latn'],True
291,20122,21182,fuv,['Latn'],
292,9166,26588,ori,['Latn'],True
293,59944,65656,leh,['Latn'],
294,29453,53210,vro,['Latn'],
295,1179913,1686696,lat,['Latn'],True
296,2418687,2574401,div,['Thaa'],
297,10673,24294,xmf,['Latn'],
298,609065,724046,min,['Latn'],
299,201662,219743,ctu,['Latn'],
300,29184662,52229613,tur,['Latn'],True
301,405711,441747,dhv,['Latn'],
302,6794,37798,rup,['Latn'],
303,18729,22590,aha,['Latn'],
304,27333,34460,gxx,['Latn'],
305,854359,956197,lua,['Latn'],
306,33351,39062,rmy,['Cyrl'],
307,69237,84415,zpa,['Latn'],
308,143937,172341,gom,['Latn'],
309,24644,24720,dik,['Latn'],
310,24660,36590,ava,['Cyrl'],
311,48468,52588,dtp,['Latn'],
312,327805,423449,amh,['Latn'],
313,39197581,55515852,fra,['Latn'],True
314,8648271,11720363,cat,['Latn'],True
315,174994,251898,xmf,['Geor'],
316,33289,34374,ixl,['Latn'],
317,874441,1154989,ckb,['Arab'],
318,149911,341855,sin,['Latn'],
319,22845,32098,bxr,['Cyrl'],
320,135068,139684,ahk,['Latn'],
321,771048,830135,sag,['Latn'],
322,162500,201524,qug,['Latn'],
323,241992,289711,nyn,['Latn'],
324,209375,256548,koo,['Latn'],
325,307302,377778,uig,['Arab'],True
326,310659,352357,kam,['Latn'],
327,174244,419825,mkd,['Latn'],
328,30015,30679,chk,['Hani'],
329,97041,107918,gkn,['Latn'],
330,32028,41583,twx,['Latn'],
331,57228,69016,skg,['Latn'],
332,159884,163304,arb,['Arab'],True
333,231209,269371,mco,['Latn'],
334,5526836,7972422,sqi,['Latn'],True
335,436667,469256,cnh,['Latn'],
336,7293178,11025398,sin,['Sinh'],True
337,296269,334210,kmb,['Latn'],
338,310399,422156,vol,['Latn'],
339,3929084,6464629,msa,['Latn'],True
340,13316,21840,shn,['Mymr'],
341,61123,62752,bba,['Latn'],
342,24016,24147,kyg,['Latn'],
